"MMM YYYY","GBP/USD"
"Jan 2010",0.61872
"Feb 2010",0.64037
"Mar 2010",0.66414
"Apr 2010",0.65211
"May 2010",0.68181
"Jun 2010",0.67741
"Jul 2010",0.65369
"Aug 2010",0.63913
"Sep 2010",0.64153
"Oct 2010",0.63032
"Nov 2010",0.62702
"Dec 2010",0.64074
"Jan 2011",0.63293
"Feb 2011",0.62003
"Mar 2011",0.61892
"Apr 2011",0.61086
"May 2011",0.61174
"Jun 2011",0.61665
"Jul 2011",0.61896
"Aug 2011",0.61131
"Sep 2011",0.63422
"Oct 2011",0.63436
"Nov 2011",0.63336
"Dec 2011",0.64178
"Jan 2012",0.64463
"Feb 2012",0.63270
"Mar 2012",0.63202
"Apr 2012",0.62484
"May 2012",0.62838
"Jun 2012",0.64291
"Jul 2012",0.64155
"Aug 2012",0.63594
"Sep 2012",0.62017
"Oct 2012",0.62194
"Nov 2012",0.62636
"Dec 2012",0.61940
"Jan 2013",0.62671
"Feb 2013",0.64642
"Mar 2013",0.66338
"Apr 2013",0.65318
"May 2013",0.65408
"Jun 2013",0.64557
"Jul 2013",0.65925
"Aug 2013",0.64472
"Sep 2013",0.62972
"Oct 2013",0.62126
"Nov 2013",0.62073
"Dec 2013",0.61049
"Jan 2014",0.60730
"Feb 2014",0.60402
"Mar 2014",0.60162
"Apr 2014",0.59719
"May 2014",0.59373
"Jun 2014",0.59148
"Jul 2014",0.58599
"Aug 2014",0.59910
"Sep 2014",0.61394
"Oct 2014",0.62215
"Nov 2014",0.63425
"Dec 2014",0.63927
"Jan 2015",0.66047
"Feb 2015",0.65244
"Mar 2015",0.66870
"Apr 2015",0.66822
"May 2015",0.64762
"Jun 2015",0.64219
"Jul 2015",0.64279
"Aug 2015",0.64209
"Sep 2015",0.65205
"Oct 2015",0.65185
"Nov 2015",0.65840
"Dec 2015",0.66742
"Jan 2016",0.69530
"Feb 2016",0.69998
"Mar 2016",0.70166
"Apr 2016",0.69853
"May 2016",0.68816
"Jun 2016",0.70531
"Jul 2016",0.76149
"Aug 2016",0.76364
"Sep 2016",0.76120
"Oct 2016",0.81137
"Nov 2016",0.80439
"Dec 2016",0.80058
"Jan 2017",0.80997
"Feb 2017",0.80039
"Mar 2017",0.81006
"Apr 2017",0.79104
"May 2017",0.77403
"Jun 2017",0.78092
"Jul 2017",0.77444
