Date,"Open Price","Close Price","High Price","Low Price",Volume
02/01/2009,4434.2,4561.8,4561.8,4430,407295392
05/01/2009,4561.8,4579.6,4618.1,4520.8,836675968
06/01/2009,4579.6,4638.9,4675.7,4562,1037315904
07/01/2009,4638.9,4507.5,4638.9,4478,1060111232
08/01/2009,4507.5,4505.4,4514.7,4410.5,924352384
09/01/2009,4505.4,4448.5,4534.8,4431.9,979880000
12/01/2009,4448.5,4426.2,4471.3,4402.3,786091328
13/01/2009,4426.2,4399.1,4426.2,4321.3,963231616
14/01/2009,4399.1,4180.6,4426.5,4115.4,1309107072
15/01/2009,4180.6,4121.1,4199.4,4090.9,1247255168
16/01/2009,4121.1,4147.1,4251.7,4121.1,1386145280
19/01/2009,4147.1,4108.5,4251.9,4032.4,1879364992
20/01/2009,4108.5,4091.4,4184.3,4060.6,2079963648
21/01/2009,4091.4,4059.9,4112.8,4001.4,2068435584
22/01/2009,4059.9,4052.2,4153.9,4046.4,1615353344
23/01/2009,4052.2,4052.5,4070.8,3956.7,1510831360
26/01/2009,4052.5,4209,4225.2,4039.4,1524882688
27/01/2009,4209,4194.4,4211,4130.8,1264648320
28/01/2009,4194.4,4295.2,4317.6,4194.4,1742247936
29/01/2009,4295.2,4190.1,4295.2,4147.7,1387667072
30/01/2009,4190.1,4149.6,4228,4125.2,1496062592
02/02/2009,4149.6,4077.8,4149.6,4036.9,929235712
03/02/2009,4077.8,4164.5,4173.2,4043.4,1085343232
04/02/2009,4164.5,4228.6,4262.7,4160.4,1197508864
05/02/2009,4228.6,4228.9,4235.3,4133.5,1216488576
06/02/2009,4228.9,4291.9,4330.7,4225.6,1412522752
09/02/2009,4291.9,4307.6,4334,4244,1168750720
10/02/2009,4307.6,4213.1,4309.5,4210.5,1113424640
11/02/2009,4213.1,4234.3,4244.5,4182.1,977770368
12/02/2009,4234.3,4202.2,4234.3,4135.1,1326826624
13/02/2009,4202.2,4189.6,4291.6,4168,1464481664
16/02/2009,4189.6,4134.8,4189.6,4127.3,768227200
17/02/2009,4134.8,4034.1,4134.8,3995.4,1226667136
18/02/2009,4034.1,4006.8,4056.5,3938.1,1276563328
19/02/2009,4006.8,4018.4,4045.2,3983.9,1173914496
20/02/2009,4018.4,3889.1,4018.4,3877.8,1300935936
23/02/2009,3889.1,3850.7,3960,3844.9,985111680
24/02/2009,3850.7,3816.4,3852.3,3772.4,1082778112
25/02/2009,3816.4,3849,3884.1,3803.9,1190213504
26/02/2009,3849,3915.6,3948.2,3849,2078205824
27/02/2009,3915.6,3830.1,3915.6,3760.7,1662560768
02/03/2009,3830.1,3625.8,3830.1,3625.8,1489496448
03/03/2009,3625.8,3512.1,3676.9,3497.3,1552463360
04/03/2009,3512.1,3645.9,3649.5,3512.1,1282906368
05/03/2009,3645.9,3529.9,3645.9,3526.4,1517533824
06/03/2009,3529.9,3530.7,3590.2,3492.1,1594393856
09/03/2009,3530.7,3542.4,3564.8,3460.7,1568103168
10/03/2009,3538.47,3715.23,3726.31,3516.3,1716855808
11/03/2009,3701.6,3693.81,3763.24,3652.01,1702913792
12/03/2009,3685.37,3712.06,3725.6,3616.5,1491067264
13/03/2009,3756.73,3753.68,3816.02,3737.88,1385426176
16/03/2009,3784.16,3863.99,3863.99,3784.16,1222809216
17/03/2009,3850.6,3857.1,3860.8,3793.13,1212702720
18/03/2009,3871.27,3804.99,3901.65,3768.5,1284340224
19/03/2009,3812.02,3816.93,3912.64,3793.7,2579357952
20/03/2009,3794.24,3842.85,3854.87,3777.73,2170118144
23/03/2009,3881.71,3952.81,3978.6,3844.01,1520402432
24/03/2009,3979.76,3911.46,3992.42,3878.42,1513177600
25/03/2009,3895.61,3900.25,3939.16,3852.96,1408409856
26/03/2009,3909.63,3925.2,3929.54,3877.79,1540981248
27/03/2009,3924.74,3898.85,3950.32,3877.55,1613253248
30/03/2009,3876.76,3762.91,3876.76,3762.91,1306764800
31/03/2009,3782.9,3926.14,3930.62,3782.9,1582078848
01/04/2009,3922.88,3955.61,3972.68,3838.22,1365246720
02/04/2009,3990.01,4124.97,4137.85,3990.01,1716491904
03/04/2009,4110.66,4029.67,4132.93,4015.59,1454940416
06/04/2009,4052.86,3993.54,4097.17,3959.6,1280125696
07/04/2009,4003.36,3930.52,4039.52,3909.88,1163285888
08/04/2009,3903.81,3925.52,3940.42,3876.11,1142928128
09/04/2009,3945.26,3983.71,3986.28,3911.99,1178195200
14/04/2009,3991.46,3988.99,4039.67,3939.61,1480794624
15/04/2009,3980.24,3968.4,4023.35,3941.61,1285957120
16/04/2009,3987.85,4052.98,4052.98,3963.57,1317680000
17/04/2009,4060.47,4092.8,4114.32,4043.21,1659766912
20/04/2009,4088.33,3990.86,4112.75,3962.87,1345950848
21/04/2009,3993.92,3987.46,4019.16,3897.25,1597626240
22/04/2009,3987.99,4030.66,4036.03,3948.22,1357767808
23/04/2009,4024.83,4018.23,4082.31,3999.06,1152052992
24/04/2009,4036.43,4155.99,4155.99,4036.43,1323836544
27/04/2009,4133.24,4167.01,4179.17,4088.67,1013572672
28/04/2009,4124.74,4096.4,4124.74,4058.73,1025206336
29/04/2009,4105.53,4189.59,4193.32,4089.46,1234082560
30/04/2009,4203.86,4243.71,4293.63,4203.86,1572958336
01/05/2009,4238.02,4243.22,4251.57,4210.75,623623424
05/05/2009,4271.18,4336.94,4375.35,4271.18,1603910400
06/05/2009,4337.66,4396.49,4437.61,4317.05,1531298816
07/05/2009,4408.75,4398.68,4520.82,4380.27,2264600064
08/05/2009,4413.65,4462.09,4487.5,4413.65,1457665408
11/05/2009,4462.7,4435.5,4470.05,4401.52,1259508992
12/05/2009,4422.75,4425.54,4457.46,4397.41,1294610688
13/05/2009,4430.53,4331.37,4447.96,4328.17,1555741440
14/05/2009,4326.1,4362.58,4371.28,4295.19,1203890688
15/05/2009,4384.89,4348.11,4400.72,4317.23,1089903744
18/05/2009,4331.62,4446.45,4446.45,4307.72,1054330432
19/05/2009,4467.51,4482.25,4512.7,4445.48,1531188608
20/05/2009,4473.49,4468.41,4504.2,4445.09,1429899136
