Date,"US Dollar",Euro,"Pound Sterling","Japanese Yen"
31/12/1969,35.2,22.24135,14.66239,12592.43816
30/01/1970,34.99,23.19885,14.53677,12496.35219
27/02/1970,35.02,23.26143,14.54923,12529.95188
31/03/1970,35.3,23.42317,14.67166,12627.64624
30/04/1970,35.85,23.78739,14.92507,12858.35769
29/05/1970,35.45,23.53597,14.80167,12757.88483
30/06/1970,35.49,23.55071,14.84938,12764.71531
31/07/1970,35.3,23.44754,14.81327,12728.16415
31/08/1970,35.8,23.58015,14.99162,12799.91765
30/09/1970,36.4,23.97657,15.23013,13018.65517
30/10/1970,37.25,24.57721,15.59883,13341.25016
30/11/1970,37.54,24.7077,15.68742,13403.92856
31/12/1970,37.38,24.41424,15.46339,13239.03264
29/01/1971,38.05,25.08689,15.74918,13613.2104
26/02/1971,38.8,25.57503,16.05827,13867.10448
31/03/1971,38.88,25.60818,16.08399,13892.94658
30/04/1971,39.7,26.14384,16.40904,14188.37692
31/05/1971,40.84,26.89863,16.8893,14594.97987
30/06/1971,40.1,26.39388,16.5723,14328.74064
30/07/1971,42.4,27.91728,17.53081,15153.73633
31/08/1971,40.65,26.10252,16.53111,13538.97924
30/09/1971,42.6,27.38985,17.14563,14059.41333
29/10/1971,42.34,27.22101,17.00061,13957.50144
30/11/1971,43.6,27.92759,17.48476,14250.07783
31/12/1971,43.55,27.06001,17.06103,13691.4779
31/01/1972,47.15,28.9905,18.17796,14624.17151
29/02/1972,48.2,29.51297,18.49437,14619.79982
31/03/1972,48.38,29.35888,18.49671,14695.63663
28/04/1972,49.6,30.17176,18.99583,15092.19047
31/05/1972,59.45,36.005,22.74815,18096.15119
30/06/1972,64.65,39.02776,26.45255,19085.51651
31/07/1972,68.3,41.30601,27.87755,20559.6918
31/08/1972,66.88,40.23167,27.31601,20090.92243
29/09/1972,64.2,38.77824,26.52894,19326.33602
31/10/1972,64.39,39.2677,27.55242,19410.67892
30/11/1972,63.6,38.70666,27.03507,19127.30893
29/12/1972,64.9,39.55253,27.65823,19568.19742
31/01/1973,66,40.81057,27.73111,19897.07381
28/02/1973,85,48.13705,34.2466,22585.6306
30/03/1973,90,51.83111,36.30499,23834.2248
30/04/1973,90.72,52.60549,36.44599,24145.46736
31/05/1973,114.75,65.04366,44.72815,30392.77922
29/06/1973,123.25,67.54318,47.76207,32263.27701
31/07/1973,115.6,63.58138,46.23076,30535.41385
31/08/1973,103.5,57.34774,42.08686,27419.58873
28/09/1973,100,54.92933,41.42848,26534.94252
31/10/1973,98,54.30066,40.18205,26098.24108
30/11/1973,101,58.89005,43.07039,28232.64235
31/12/1973,112.25,65.94655,48.32114,31384.57875
31/01/1974,132.5,82.65106,58.06311,39453.8853
28/02/1974,162.5,100.07604,70.53874,46802.4562
29/03/1974,173,100.67959,72.23384,47602.09754
30/04/1974,169.25,97.53068,69.56434,47234.18347
31/05/1974,156.75,92.29097,65.4079,44183.03408
28/06/1974,144.25,85.07806,60.4442,41041.61473
31/07/1974,156,91.6079,65.54627,46668.94272
30/08/1974,156,93.60627,67.31397,47254.40549
30/09/1974,151.25,90.39555,64.8446,45131.84239
31/10/1974,167,99.30811,71.54185,50150.83476
29/11/1974,184,107.71159,79.10582,55215.86136
31/12/1974,186.5,106.17632,79.36175,56029.39808
31/01/1975,175.8,98.80129,73.88111,52492.52827
28/02/1975,181.75,99.58179,74.80964,52067.51161
31/03/1975,177.25,98.85409,73.83883,51834.86084
30/04/1975,167,92.691,70.91296,48788.11989
30/05/1975,167,91.82122,72.26309,48777.5882
30/06/1975,166.25,92.62667,76.4896,49565.2595
31/07/1975,166.7,98.40801,77.62159,49794.25142
29/08/1975,159.8,94.55606,75.71671,47625.80771
30/09/1975,141.25,85.78029,69.14529,42800.93605
31/10/1975,142.9,84.59354,68.78465,43162.36519
28/11/1975,138.15,83.48895,68.47584,41975.68747
31/12/1975,140.25,84.68191,69.32094,42788.35143
30/01/1976,128.15,80.11987,63.12811,38950.0462
27/02/1976,132.3,84.37334,65.31725,40006.81655
31/03/1976,129.6,85.94021,67.60564,38873.2404
30/04/1976,128.4,87.07182,69.76365,38474.65435
31/05/1976,125.5,84.51886,71.36772,37717.83804
30/06/1976,123.8,83.1318,69.35578,36897.27413
30/07/1976,112.5,75.94623,63.00758,33015.96982
31/08/1976,104,70.11929,58.5092,30015.2195
30/09/1976,116,78.10382,69.83752,33347.41433
29/10/1976,123.15,83.05655,77.64824,36300.5519
30/11/1976,130.25,87.92121,78.82005,38700.64624
31/12/1976,134.5,90.206,79.03869,39440.30494
31/01/1977,132.3,89.94698,77.14293,38185.74983
28/02/1977,142.75,97.07567,83.29451,40377.0114
31/03/1977,148.9,102.07629,86.56985,41380.3866
29/04/1977,147.25,100.63604,85.64041,40936.1181
31/05/1977,142.95,97.73407,83.15882,39666.75625
30/06/1977,143,97.60672,83.13961,38285.79233
29/07/1977,144.1,100.31705,82.95914,38493.04234
31/08/1977,146,102.03731,83.76848,39036.11299
30/09/1977,154.05,107.80298,88.14948,40680.98282
31/10/1977,161.5,111.50646,87.74795,40276.30716
30/11/1977,160.05,110.17812,88.08482,39109.66096
30/12/1977,164.95,110.07522,86.04591,39538.09642
31/01/1978,175.75,117.3962,90.12826,42495.47366
28/02/1978,182.25,119.81684,93.87073,43462.14916
31/03/1978,181.6,118.79143,97.32056,40096.06949
28/04/1978,170.85,113.17922,93.38625,38241.67073
31/05/1978,184.15,122.76258,100.46381,40838.53952
30/06/1978,183.05,120.42746,98.41399,37298.90225
31/07/1978,200.25,129.16098,103.67598,37789.8942
31/08/1978,208.7,132.48419,107.38361,39731.93525
29/09/1978,217.1,135.67594,109.84065,41080.4021
31/10/1978,242.6,141.49019,116.91572,43492.64885
30/11/1978,193.4,122.39974,99.46011,38590.52323
29/12/1978,226,137.06309,110.70301,43893.74465
31/01/1979,233.7,144.83874,117.43725,47327.21344
28/02/1979,251.3,154.63932,124.19084,50918.24541
30/03/1979,240.1,148.04352,116.21501,50379.20759
30/04/1979,245.3,152.76213,118.81812,54567.22078
31/05/1979,274.6,172.00192,132.68911,60506.23361
29/06/1979,277.5,169.02913,127.29367,60400.84714
31/07/1979,296.45,179.68138,131.87286,64222.08159
31/08/1979,315.1,190.38485,139.88897,69384.93073
28/09/1979,397.25,233.2274,180.36335,89144.58657
31/10/1979,382,231.44712,184.00786,90807.87755
30/11/1979,415.65,244.86711,188.97488,103747.2087
31/12/1979,512,299.11655,230.6308,122753.2439
31/01/1980,653,385.00886,288.10948,156299.3934
29/02/1980,637,381.48409,280.24652,160301.0078
31/03/1980,494.5,321.56293,228.51206,123625.0253
30/04/1980,518,317.26757,229.35595,123852.2134
30/05/1980,535.5,323.09063,228.35837,119317.2476
30/06/1980,653.5,392.722,277.3181,143581.4437
31/07/1980,614.25,372.37295,262.16406,139733.4439
29/08/1980,631.25,386.52486,263.40501,138287.6281
30/09/1980,666.75,412.8316,279.26715,140611.0098
31/10/1980,629,404.91223,258.15724,132821.8977
28/11/1980,619.75,406.72845,262.82869,134174.0465
31/12/1980,589.75,392.41341,246.65414,119873.9125
30/01/1981,506.5,363.31025,213.98407,104745.2003
27/02/1981,489,357.94829,221.76881,102568.0751
